Assessment,Questionnaire,Control Identifier,Control Question,Response,Comment,Evidence
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-11.1","Is user installation of software restricted and monitored?","N/A","Only customer approved PeriGen Technical Consultant is authorized to install the system at a customer site",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-12.1","Are patches applied to the information system in a timely manner? If so, how quickly are patches applied?","Yes","Very dependent on severity/criticality.�Typically patches are rolled into maintenance releases available 2/3 times a year on average",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-12.2","Are there standards or policies which define the timing of patching the information system?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-13.1","Do you use Development, Test, QA, and Production environments during the patch management process? If so, describe the manner in which these environment are utilized?","Yes","Patches are always deployed to a TEST environment for customer approval. Once accepted, the update is schedule on Production systems.�",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-14.1","Do you categorize patches based on severity? If yes, please provide the categories, their definitions, and the associated time frames for deploying patches to production environments.","Partial","There are typically�3 main issue categories leading to patches: 
1. Critical: This involves patient safety issues or issues causing complete system failures. Those issues are addressed ASAP (development, QA, deployment)

2.�Priority: Non-critical, occasional issues affecting stability or specific/non frequent user workflow, without effective work-arounds. Those issues could trigger a patch release prior to next planned maintenance release

3. Other: Issues not falling in categories above that can be prioritied to planned maintenance releases depending on triage (number of customer affected, type of work-around, effort etc.)",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-14.2","Do you implement patches categorized as "critical" within 72 hours of patch release?","yes","Pending customer acceptance",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-1.1","Does the application/system use managed LDAP services for identification and authentication? If no, detail in the comment column what is used.","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-2.1","Does the information system use multifactor authentication for privileged or non-privileged access? (Uses at least two of: what you have, what you know, what you are. E.g., tokens, passwords, biometrics.)","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-3.1","Does the information system uniquely identify and authenticate devices before establishing a connection? (E.g., MAC, TCP/IP, IEEE 802.1x)","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-4.2","Does the application/system prevent reuse of user or device identifiers?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-4.3","Does the application/system disable the user or device account after a pre-defined period of inactivity?","Yes","As part of AD authentication and customer policy",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-5.1","Does the application/system comply with the password complexity as outlined in implemented policies? ","Yes","As part of AD authentication and customer policy. Virtually all customers use AD authentication these days. However, built-in control do support the above. See the product manual section 6-14 (Password settings).","LAB00196_PeriWatch_Surveillance_SysAdmin_Manual_rev17.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-5.2","Does the End User comply with password requirements regarding complexity, length and change?
- Are Passwords at least 8 characters in length?
- Are Passwords created using the following?:
  - Mixed case alpha characters
  - at least one numeric digit
  - at least one non-alphanumeric character
- Current password may not be reused
- Do current passwords expire every 90 days?
- Are passwords stored in an encrypted format?","Yes","As part of AD authentication and customer policy. Virtually all customers use AD authentication these days. However, built-in control do support the above. See the product manual section 6-14 (Password settings).","LAB00196_PeriWatch_Surveillance_SysAdmin_Manual_rev17.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-5.3","Are the passwords encrypted within the information system when stored or transmitted?","N/A","AD managed. No passwords are stored locally with AD authentication",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-5.7","Is authenticator content protected from unauthorized disclosure and modification?","Yes","AD managed. No passwords are stored locally with AD authentication",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-5.9","Is token-based authentication required?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-6.1","Does the information system obscure the authenticator/password during the authentication process?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IA-7.1","Does the information system use mechanisms for authentication to a cryptographic module? (This control is used for mostly operating systems and appliances used to encrypt something.)","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-1.1","Are there formally documented policies and procedures for Incident Response? If yes, please attach.","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-2.1","Are staff provided with incident response training?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-2.2","Is incident response training unique based on the role of the individual?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-3.1","Are incident response tests conducted?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-3.2","Are the incident response test results analyzed?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-4.1","Is there an incident handling process?","Yes","See chapter ","HIPAA-WI-006 - Technical and Infrastructure Security rev 01.01.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-5.1","Are security incidents tracked and documented?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-6.1","Are security incidents timely reported to appropriate personnel/ government authorities?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-7.1","Are incident response resources used outside of the incident response team?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-8.1","Is there a comprehensive Incident Response Plan? If so, please attach.","Yes","See chapter 4","HIPAA-WI-006 - Technical and Infrastructure Security rev 01.01.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","IR-9.1","Does the organization respond to information spillage appropriately and timely?","Yes","Process regarding data leakage is covered in corporate policies if encountered",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","MA-1.1","Are there formally documented policies and procedures for Maintenance? If yes, please attach.","Yes","Part of internal/propriatary�SDLC documentation",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","MA-2.5","Do you check all potentially impacted security controls to verify that the controls are still functioning properly following maintenance or repair actions? (E.g., verify that audit logs are still functioning properly, user level of access is still appropriate.)","Partial","Upon update, Operations staff perfroms a validation of installation to ensure the update was perromed correctly. Logs are reviewed for errors and authentication is confirmed implicitly is order to perform this check. The user aspect of the validation is the responsibility of the customer.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","MA-3.1","Does the organization approve, control and monitor information system maintenance tools?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","MA-4.1","Is any nonlocal maintenance and diagnostic activity performed on the information system (such as across the network, either internal or external, using terminal services/RDP)?","Yes","Typically performed to investigate recurring problems only or in support of existing support cases",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","MA-4.2","Are all nonlocal maintenance and diagnostic activities approved and monitored?","Yes","Access to nolocal support is done via two methods: 1) SecureLink where the customer approved the implementation and has assigned the appropriate controls for PeriGen to access the server(s) where the application is installed. 2). An access method controlled by the customer.
For the SecureLink option, access to the SecureLink portal is done via the corporate AzureAD integration. Access to SecureLink is done using the corporate userID, password and MFA. Only users who require access to the site are assigned to the AzureAD dedicated group for remote access. The only control or diagnostic activity we can provide is a sample log of access via Azure AD (see attached)","SL-access-controllog.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","MA-4.3","Are strong authenticators/passwords used in the establishment of nonlocal maintenance and diagnostic sessions?","Yes","Access is perfromed via SecureLink where passowrd control and policies are enforced.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","MA-4.4","Do you maintain records for nonlocal maintenance and diagnostic activities?","Yes","We only maintain records of support incidences that were called in and where support connected to the site instance remotely.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","MA-4.5","Are the sessions and network connections terminated after the nonlocal maintenance has been completed?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","MA-5.1","Do you authorize and maintain a list of authorized maintenance personnel?","Yes","Access to hospital is goverend by individual account / profile in SecureLink.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","MA-5.2","Do you ensure that personnel performing maintenance of the information system have the required access authorizations?","Yes","",""
